measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091709.csv	p5	0.95825	94.551	50.9571	1654	190
BD18_1510091709.csv	p6	0.48346	0	1022.8	838	0
BD18_1510091709.csv	p7	0.49277	51.729	318.739	854	104
BD18_1510091709.csv	p10	0.53699	7.971	64.6077	930	16
BD18_1510091709.csv	p13	0.54804	7.41	302.645	949	15
BD18_1510091709.csv	p17	0.49451	6.973	479.603	857	14
BD18_1510091709.csv	p18	0.49277	79.076	311.877	854	159
BD18_1510091709.csv	p22	0.44797	142.833	45.6121	777	287
BD18_1510091709.csv	p25	0.45204	4.399	202.293	784	9
BD18_1510091709.csv	p27	0.62659	89.622	45.0394	1084	180
BD18_1510091709.csv	p31	0.51255	50.809	78.4059	888	102
BD18_1510091709.csv	p33	0.97919	94.551	52.8339	1690	190
BD18_1510091709.csv	p37	0.48346	148.746	859.209	838	299
BD18_1510091709.csv	p39	0.51255	64.724	74.9866	888	130
BD18_1510091709.csv	p41	0.84537	28.844	749.084	1460	58
BD18_1510091709.csv	p43	0.51255	79.076	73.5545	888	159
BD18_1510091709.csv	p45	0.47299	0	38.7706	820	0
BD18_1510091709.csv	p46	0.58528	3.432	47.983	1013	7
BD18_1510091709.csv	p48	0.48811	148.746	1013.76	846	299
BD18_1510091709.csv	p51	0.48346	15.927	839.015	838	32
BD18_1510091709.csv	p52	0.49277	148.746	316.649	854	299
BD18_1510091709.csv	p53	0.93672	97.016	45.5794	1617	195
BD18_1510091709.csv	p56	0.50731	148.309	33.364	879	298
BD18_1510091709.csv	p57	0.60739	74.115	40.545	1051	149
BD18_1510091709.csv	p58	0.68536	33.29	45.605	1185	67
BD18_1510091709.csv	p67	0.60681	90.09	105.571	1050	181
BD18_1510091709.csv	p71	0.51255	147.794	67.1452	888	297
BD18_1510091709.csv	p76	0.48346	51.292	854.499	838	103
BD18_1510091709.csv	p77	0.98385	101.088	50.1913	1698	203
BD18_1510091709.csv	p78	0.44797	24.928	46.4941	777	50
BD18_1510091709.csv	p81	0.62659	109.98	40.1792	1084	221
BD18_1510091709.csv	p82	0.44797	14.882	71.9524	777	30
BD18_1510091709.csv	p86	0.49277	24.928	273.338	854	50
BD18_1510091709.csv	p89	1.00421	96.564	42.8991	1733	194
BD18_1510091709.csv	p93	0.99258	101.088	46.4968	1713	203
BD18_1510091709.csv	p94	0.50731	20.872	34.4634	879	42
BD18_1510091709.csv	p98	0.51721	148.746	39.9996	896	299
BD18_1510091709.csv	p100	0.50731	51.292	35.4499	879	103
