measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091746.csv	p2	0.99504	95.051	43.5965	1716	191
BD18_1510091746.csv	p4	0.48148	0	871.011	834	0
BD18_1510091746.csv	p6	1.01484	99.528	37.4117	1750	200
BD18_1510091746.csv	p8	0.44829	2.917	237.723	777	6
BD18_1510091746.csv	p12	0.5036	0	49.6378	872	0
BD18_1510091746.csv	p14	0.49953	0	35.5698	865	0
BD18_1510091746.csv	p16	0.44654	148.809	129.31	774	299
BD18_1510091746.csv	p18	1.00435	97.516	40.3	1732	196
BD18_1510091746.csv	p19	0.4512	3.915	237.696	782	8
BD18_1510091746.csv	p22	0.97582	101.556	54.5338	1683	204
BD18_1510091746.csv	p23	0.99911	99.528	41.7813	1723	200
BD18_1510091746.csv	p24	0.64335	33.29	389.612	1112	67
BD18_1510091746.csv	p26	0.58745	11.341	95.0145	1016	23
BD18_1510091746.csv	p27	0.51932	0	48.9457	899	0
BD18_1510091746.csv	p28	0.58629	3.463	73.516	1014	7
BD18_1510091746.csv	p29	1.02764	99.013	32.8236	1772	199
BD18_1510091746.csv	p41	0.96185	101.556	50.0029	1659	204
BD18_1510091746.csv	p42	0.48148	84.084	546.641	834	169
BD18_1510091746.csv	p47	0.89838	27.815	35.6711	1550	56
BD18_1510091746.csv	p48	0.48322	146.765	718.874	837	295
BD18_1510091746.csv	p49	0.62239	110.479	39.0978	1076	222
BD18_1510091746.csv	p52	0.53446	7.441	38.2129	925	15
BD18_1510091746.csv	p53	0.48905	148.809	654.282	847	299
BD18_1510091746.csv	p55	0.54786	7.441	204.53	948	15
BD18_1510091746.csv	p57	0.49312	142.787	298.365	854	287
BD18_1510091746.csv	p60	0.68876	84.084	87.2977	1190	169
BD18_1510091746.csv	p61	0.44654	17.347	123.607	774	35
BD18_1510091746.csv	p62	1.03289	99.528	32.7272	1781	200
BD18_1510091746.csv	p63	0.44654	24.882	121.937	774	50
BD18_1510091746.csv	p66	0.8454	30.28	731.961	1459	61
BD18_1510091746.csv	p67	1.1406	96.985	58.9008	1966	195
BD18_1510091746.csv	p71	0.68527	33.821	34.7644	1184	68
BD18_1510091746.csv	p72	0.51001	148.809	117.694	883	299
BD18_1510091746.csv	p74	0.9438	93.038	102.357	1628	187
BD18_1510091746.csv	p79	0.5135	148.809	118.177	889	299
BD18_1510091746.csv	p81	0.51932	145.361	42.5509	899	292
BD18_1510091746.csv	p89	0.48322	17.347	610.65	837	35
BD18_1510091746.csv	p91	0.48381	24.882	633.406	838	50
BD18_1510091746.csv	p92	0.8879	116.938	35.7176	1532	235
BD18_1510091746.csv	p95	0.48905	0	654.775	847	0
BD18_1510091746.csv	p96	0.60608	135.33	54.4386	1048	272
BD18_1510091746.csv	p98	0.48905	17.347	547.543	847	35
BD18_1510091746.csv	p100	0.924	104.988	96.6259	1594	211
BD18_1510091746.csv	p101	0.48905	24.882	547.838	847	50
BD18_1510091746.csv	p102	0.5036	51.698	30.208	872	104
BD18_1510091746.csv	p103	0.60608	73.616	37.7142	1048	148
BD18_1510091746.csv	p106	0.60608	90.059	76.0772	1048	181
BD18_1510091746.csv	p107	0.48905	4.43	564.23	847	9
BD18_1510091746.csv	p110	0.49312	15.85	296.314	854	32
BD18_1510091746.csv	p114	0.60608	110.479	95.2493	1048	222
BD18_1510091746.csv	p117	0.44654	53.212	143.389	774	107
BD18_1510091746.csv	p118	0.49312	21.372	271.478	854	43
BD18_1510091746.csv	p119	0.44654	65.161	136.618	774	131
BD18_1510091746.csv	p121	0.49312	4.883	409.512	854	10
BD18_1510091746.csv	p123	0.51001	84.521	96.7061	883	170
BD18_1510091746.csv	p125	0.51001	51.698	135.88	883	104
BD18_1510091746.csv	p126	0.51001	64.631	129.062	883	130
BD18_1510091746.csv	p127	0.5135	52.744	151.212	889	106
BD18_1510091746.csv	p128	0.5135	84.084	98.2769	889	169
BD18_1510091746.csv	p129	0.51001	0	144.246	883	0
BD18_1510091746.csv	p134	0.5135	0	141.438	889	0
BD18_1510091746.csv	p136	0.5135	12.932	343.591	889	26
BD18_1510091746.csv	p137	0.5135	64.631	139.19	889	130
BD18_1510091746.csv	p143	0.64335	26.832	337.9	1112	54
BD18_1510091746.csv	p144	0.51932	53.212	50.7466	899	107
BD18_1510091746.csv	p145	0.51932	64.21	48.3874	899	129
BD18_1510091746.csv	p148	0.51932	84.521	36.0478	899	170
BD18_1510091746.csv	p150	0.48905	84.521	496.16	847	170
BD18_1510091746.csv	p152	0.48905	64.21	651.263	847	129
BD18_1510091746.csv	p153	0.48905	51.698	668.81	847	104
BD18_1510091746.csv	p155	0.49312	64.631	317.405	854	130
BD18_1510091746.csv	p156	0.49312	84.084	225.056	854	169
BD18_1510091746.csv	p157	0.49312	51.698	330.978	854	104
BD18_1510091746.csv	p159	0.48322	53.212	727.408	837	107
BD18_1510091746.csv	p160	0.48322	64.21	716.933	837	129
BD18_1510091746.csv	p161	1.01775	95.051	35.015	1755	191
BD18_1510091746.csv	p162	1.02357	95.051	34.3428	1765	191
BD18_1510091746.csv	p163	0.97175	93.553	62.1221	1676	188
