measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091705.csv	p1	0.47892	0	115.495	830	0
BD18_1510091705.csv	p2	0.54818	7.472	222.671	949	15
BD18_1510091705.csv	p3	0.586	3.51	42.0135	1014	7
BD18_1510091705.csv	p4	0.49696	6.49	209.195	861	13
BD18_1510091705.csv	p5	0.53828	7.987	74.0466	932	16
BD18_1510091705.csv	p6	0.81298	29.344	34.2963	1404	59
BD18_1510091705.csv	p7	0.45215	4.462	203.549	784	9
BD18_1510091705.csv	p8	0.64362	29.344	255.401	1113	59
BD18_1510091705.csv	p9	0.97303	97.609	30.8476	1679	196
BD18_1510091705.csv	p11	0.59764	29.344	168.012	1034	59
BD18_1510091705.csv	p12	0.59764	37.83	221.869	1034	76
BD18_1510091705.csv	p13	0.59764	19.469	249.137	1034	39
BD18_1510091705.csv	p14	0.59764	56.831	49.517	1034	114
BD18_1510091705.csv	p15	0.9544	97.609	30.584	1647	196
BD18_1510091705.csv	p16	0.6442	19.469	45.9028	1114	39
BD18_1510091705.csv	p17	0.92414	98.046	123.85	1595	197
BD18_1510091705.csv	p18	0.60696	101.104	106.024	1050	203
BD18_1510091705.csv	p20	0.88806	117.499	51.0849	1533	236
