measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091739.csv	p1	0.47857	0	106.082	829	0
BD18_1510091739.csv	p2	1.00144	98.109	31.8686	1727	197
BD18_1510091739.csv	p3	0.58687	3.479	53.0969	1015	7
BD18_1510091739.csv	p4	0.53621	9.984	55.2474	928	20
BD18_1510091739.csv	p5	1.1406	97.578	44.1742	1966	196
BD18_1510091739.csv	p6	0.81337	29.359	38.1354	1404	59
BD18_1510091739.csv	p7	0.45236	4.009	188.832	784	8
BD18_1510091739.csv	p8	0.54786	7.426	806.776	948	15
BD18_1510091739.csv	p9	0.59735	29.359	166.122	1033	59
BD18_1510091739.csv	p10	0.59735	19.438	287.717	1033	39
BD18_1510091739.csv	p11	0.64393	29.359	253.345	1113	59
BD18_1510091739.csv	p12	0.59735	37.331	225.995	1033	75
BD18_1510091739.csv	p13	0.59793	56.706	108.43	1034	114
BD18_1510091739.csv	p14	0.64451	19.438	52.577	1114	39
BD18_1510091739.csv	p15	0.49545	10.436	117.672	858	21
BD18_1510091739.csv	p16	0.49778	5.491	212.89	862	11
BD18_1510091739.csv	p17	0.95486	97.578	42.8607	1647	196
BD18_1510091739.csv	p18	0.97524	98.109	44.3168	1682	197
BD18_1510091739.csv	p19	0.924	100.059	120.866	1594	201
BD18_1510091739.csv	p20	0.96127	97.578	41.9071	1658	196
BD18_1510091739.csv	p22	0.94787	97.578	45.1769	1635	196
BD18_1510091739.csv	p23	0.60608	102.071	99.1799	1048	205
BD18_1510091739.csv	p25	0.8879	117.515	48.3939	1532	236
