measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1408280834_ims.csv	p1	0.47876	0	44.9312	839	0
BD18_1408280834_ims.csv	p2	0.94319	96.876	41.2848	1646	195
BD18_1408280834_ims.csv	p3	0.59789	56.128	405.405	1046	113
BD18_1408280834_ims.csv	p5	0.81313	29.281	54.0746	1420	59
BD18_1408280834_ims.csv	p6	0.4966	6.942	41.976	870	14
BD18_1408280834_ims.csv	p7	0.5484	7.909	84.6128	960	16
BD18_1408280834_ims.csv	p9	0.83788	29.281	38.6821	1463	59
BD18_1408280834_ims.csv	p10	0.58811	3.915	35.7274	1029	8
BD18_1408280834_ims.csv	p11	0.95816	96.345	39.8539	1672	194
BD18_1408280834_ims.csv	p12	1.00017	96.345	33.0431	1745	194
BD18_1408280834_ims.csv	p13	0.59789	28.844	114.405	1046	58
BD18_1408280834_ims.csv	p14	0.64451	29.281	143.405	1127	59
BD18_1408280834_ims.csv	p15	0.98175	96.345	49.8695	1713	194
BD18_1408280834_ims.csv	p17	0.92535	97.937	79.6794	1615	197
BD18_1408280834_ims.csv	p18	0.95067	96.345	39.7757	1659	194
BD18_1408280834_ims.csv	p19	0.60767	101.4	42.9221	1063	204
