measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1408280826_ims.csv	p3	1.03585	96.019	33.3941	1807	193
BD18_1408280826_ims.csv	p4	0.58811	4.025	50.7982	1029	8
BD18_1408280826_ims.csv	p5	0.95643	96.986	46.184	1669	195
BD18_1408280826_ims.csv	p7	0.9806	96.986	64.8806	1711	195
BD18_1408280826_ims.csv	p10	1.02606	96.455	36.7011	1790	194
BD18_1408280826_ims.csv	p11	0.5484	7.473	144.473	960	15
BD18_1408280826_ims.csv	p14	0.94319	95.488	44.8104	1646	192
BD18_1408280826_ims.csv	p15	1.00592	96.019	45.2066	1755	193
BD18_1408280826_ims.csv	p16	1.01686	96.455	39.9361	1774	194
BD18_1408280826_ims.csv	p20	0.92593	100.995	74.4659	1616	203
BD18_1408280826_ims.csv	p21	0.96103	96.986	46.9895	1677	195
BD18_1408280826_ims.csv	p22	0.84651	29.344	552.932	1478	59
BD18_1408280826_ims.csv	p23	0.95067	94.958	45.7921	1659	191
BD18_1408280826_ims.csv	p26	0.60595	103.912	34.6149	1060	209
BD18_1408280826_ims.csv	p27	1.14001	96.986	32.2619	1988	195
BD18_1408280826_ims.csv	p28	0.47876	0	52.1119	839	0
BD18_1408280826_ims.csv	p29	0.79586	3.479	34.8052	1390	7
BD18_1408280826_ims.csv	p30	0.69055	4.025	53.862	1207	8
BD18_1408280826_ims.csv	p32	0.64451	27.846	179.88	1127	56
