measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1408280851_ims.csv	p1	0.47899	0	57.7583	839	0
BD18_1408280851_ims.csv	p2	0.49684	6.942	34.5333	870	14
BD18_1408280851_ims.csv	p3	0.54866	7.909	71.4286	960	16
BD18_1408280851_ims.csv	p4	0.95573	96.445	38.4686	1667	194
BD18_1408280851_ims.csv	p5	0.59817	55.636	455.114	1046	112
BD18_1408280851_ims.csv	p9	0.59875	19.266	119.86	1047	39
BD18_1408280851_ims.csv	p10	0.95228	96.445	38.9975	1661	194
BD18_1408280851_ims.csv	p11	0.96264	95.915	39.1686	1679	193
BD18_1408280851_ims.csv	p12	0.94767	96.445	39.8896	1653	194
BD18_1408280851_ims.csv	p13	0.97991	96.445	51.7744	1709	194
BD18_1408280851_ims.csv	p15	0.81351	28.772	167.481	1420	58
BD18_1408280851_ims.csv	p16	0.92579	97.881	77.9786	1615	197
BD18_1408280851_ims.csv	p17	0.84115	29.303	132.142	1468	59
BD18_1408280851_ims.csv	p19	0.64424	28.772	205.888	1126	58
BD18_1408280851_ims.csv	p21	0.59817	31.783	73.827	1046	64
BD18_1408280851_ims.csv	p22	0.59817	37.259	136.758	1046	75
BD18_1408280851_ims.csv	p23	0.60796	101.344	36.7163	1063	204
