measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1408280841_ims.csv	p1	0.4791	0	50.877	839	0
BD18_1408280841_ims.csv	p3	1.14198	97.922	33.157	1990	197
BD18_1408280841_ims.csv	p5	0.94329	93.039	43.3731	1645	187
BD18_1408280841_ims.csv	p8	0.95538	93.039	44.7097	1666	187
BD18_1408280841_ims.csv	p10	1.03428	98.452	33.6961	1803	198
BD18_1408280841_ims.csv	p11	0.64496	31.356	180.848	1127	63
BD18_1408280841_ims.csv	p12	0.93465	96.502	39.5785	1630	194
BD18_1408280841_ims.csv	p15	0.95884	96.502	42.5144	1672	194
BD18_1408280841_ims.csv	p17	0.96172	93.475	45.2232	1677	188
BD18_1408280841_ims.csv	p19	1.01873	95.004	39.7943	1776	191
BD18_1408280841_ims.csv	p21	0.49753	6.49	43.5286	871	13
BD18_1408280841_ims.csv	p24	0.92601	102.446	71.6878	1615	206
BD18_1408280841_ims.csv	p25	0.54821	7.473	248.307	959	15
BD18_1408280841_ims.csv	p26	0.84653	29.313	537.481	1477	59
BD18_1408280841_ims.csv	p27	1.04004	96.502	31.0572	1813	194
BD18_1408280841_ims.csv	p28	0.60753	89.497	44.9828	1062	180
BD18_1408280841_ims.csv	p32	0.60753	106.97	46.506	1062	215
BD18_1408280841_ims.csv	p34	0.94041	99.965	42.1214	1640	201
BD18_1408280841_ims.csv	p39	0.98072	94.458	61.1662	1710	190
