measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091750.csv	p1	0.47949	0	142.345	830	0
BD18_1510091750.csv	p4	0.58729	3.526	96.3361	1015	7
BD18_1510091750.csv	p5	0.45269	4.493	188.182	784	9
BD18_1510091750.csv	p9	1.04587	98.062	31.8481	1802	197
BD18_1510091750.csv	p11	0.97478	95.613	56.1024	1680	192
BD18_1510091750.csv	p12	1.00333	96.143	45.8614	1729	193
BD18_1510091750.csv	p13	0.95322	96.58	53.2108	1643	194
BD18_1510091750.csv	p15	0.54825	7.488	394.302	948	15
BD18_1510091750.csv	p16	0.93224	98.592	52.7977	1607	198
BD18_1510091750.csv	p18	0.49756	6.49	235.224	861	13
BD18_1510091750.csv	p19	0.62342	90.636	43.1889	1077	182
BD18_1510091750.csv	p20	0.97886	98.062	54.6532	1687	197
BD18_1510091750.csv	p22	0.92467	103.085	109.717	1594	207
BD18_1510091750.csv	p24	0.94623	95.613	52.1827	1631	192
BD18_1510091750.csv	p28	0.95788	96.58	52.316	1651	194
BD18_1510091750.csv	p30	1.02547	98.592	37.7249	1767	198
BD18_1510091750.csv	p31	0.88796	116.985	44.4909	1531	235
BD18_1510091750.csv	p32	0.98235	95.613	54.4997	1693	192
BD18_1510091750.csv	p33	1.04004	96.143	34.003	1792	193
BD18_1510091750.csv	p34	1.14143	96.143	64.1624	1966	193
BD18_1510091750.csv	p39	0.60535	140.868	33.5362	1046	283
BD18_1510091750.csv	p40	0.96487	95.613	52.6604	1663	192
BD18_1510091750.csv	p42	1.01324	98.592	42.0054	1746	198
BD18_1510091750.csv	p44	0.60652	91.167	96.2514	1048	183
BD18_1510091750.csv	p47	1.0313	98.592	36.0246	1777	198
BD18_1510091750.csv	p48	0.99168	99.559	48.7007	1709	200
BD18_1510091750.csv	p49	1.01964	98.592	39.8438	1757	198
BD18_1510091750.csv	p50	0.60652	105.565	104.789	1048	212
BD18_1510091750.csv	p51	0.846	29.422	686.77	1459	59
BD18_1510091750.csv	p52	0.68518	32.401	35.7853	1183	65
BD18_1510091750.csv	p53	0.62342	106.002	40.1695	1077	213
BD18_1510091750.csv	p55	0.64381	31.964	362.332	1112	64
