measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091753.csv	p3	0.5353	2.542	31.512	926	5
BD18_1510091753.csv	p4	0.99785	97.094	46.6835	1720	195
BD18_1510091753.csv	p6	0.45258	4.04	171.064	784	8
BD18_1510091753.csv	p8	0.49511	11.497	100.056	857	23
BD18_1510091753.csv	p9	0.58715	3.51	99.058	1015	7
BD18_1510091753.csv	p12	0.49744	5.007	198.333	861	10
BD18_1510091753.csv	p14	0.47763	53.321	80.9431	827	107
BD18_1510091753.csv	p15	1.0194	95.675	39.1506	1757	192
BD18_1510091753.csv	p20	1.03862	96.111	32.6947	1790	193
BD18_1510091753.csv	p23	0.97687	99.138	55.4377	1684	199
BD18_1510091753.csv	p24	0.54754	2.542	76.4939	947	5
BD18_1510091753.csv	p25	0.47763	67.251	81.3698	827	135
BD18_1510091753.csv	p27	1.14057	97.094	61.7639	1965	195
BD18_1510091753.csv	p34	0.94367	99.575	54.6924	1627	200
BD18_1510091753.csv	p35	0.96755	97.094	51.9654	1668	195
BD18_1510091753.csv	p38	0.99377	98.607	48.6642	1713	198
BD18_1510091753.csv	p39	1.0462	96.642	30.7014	1803	194
BD18_1510091753.csv	p40	1.03571	98.607	33.7345	1785	198
BD18_1510091753.csv	p42	0.47763	79.201	81.9655	827	159
BD18_1510091753.csv	p43	0.95299	98.607	53.5035	1643	198
BD18_1510091753.csv	p47	1.00367	98.607	44.0669	1730	198
BD18_1510091753.csv	p48	1.02581	95.675	36.804	1768	192
BD18_1510091753.csv	p49	0.71706	27.908	43.6702	1238	56
BD18_1510091753.csv	p51	0.54754	7.581	912.651	947	15
BD18_1510091753.csv	p54	0.8458	29.921	652.332	1459	60
BD18_1510091753.csv	p56	0.5353	10.53	54.0675	926	21
BD18_1510091753.csv	p57	0.6856	32.448	38.5095	1184	65
BD18_1510091753.csv	p61	0.92444	102.648	109.55	1594	206
BD18_1510091753.csv	p62	0.47763	25.506	66.4864	827	51
BD18_1510091753.csv	p63	0.88833	117.499	62.8217	1532	236
BD18_1510091753.csv	p64	0.47763	0	201.98	827	0
BD18_1510091753.csv	p72	0.64366	27.908	368.565	1112	56
BD18_1510091753.csv	p73	0.47763	147.451	86.2242	827	296
BD18_1510091753.csv	p74	0.60637	122.023	40.2787	1048	245
BD18_1510091753.csv	p76	0.60637	105.05	103.73	1048	211
