measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091756.csv	p1	0.44617	2.044	94.2468	773	4
BD18_1510091756.csv	p2	0.47588	52.806	62.2888	824	106
BD18_1510091756.csv	p10	0.53822	7.426	54.0746	931	15
BD18_1510091756.csv	p13	0.47588	79.171	62.9774	824	159
BD18_1510091756.csv	p17	0.47588	148.918	71.1304	824	299
BD18_1510091756.csv	p26	0.58657	3.526	110.721	1014	7
BD18_1510091756.csv	p27	0.47996	148.918	652.072	831	299
BD18_1510091756.csv	p29	0.60637	90.637	98.3149	1048	182
BD18_1510091756.csv	p31	0.95707	94.568	50.629	1650	190
BD18_1510091756.csv	p33	0.49045	146.89	204.457	849	295
BD18_1510091756.csv	p38	0.49569	53.321	54.5769	858	107
BD18_1510091756.csv	p39	0.54812	7.426	231.187	948	15
BD18_1510091756.csv	p42	0.49569	64.74	53.8625	858	130
BD18_1510091756.csv	p45	1.03396	100.075	34.7653	1782	201
BD18_1510091756.csv	p51	0.92444	104.053	104.615	1594	209
BD18_1510091756.csv	p52	0.49569	79.171	53.2827	858	159
BD18_1510091756.csv	p53	0.99086	99.544	47.6705	1708	200
BD18_1510091756.csv	p55	0.49569	144.41	52.9008	858	290
BD18_1510091756.csv	p58	0.88833	116.985	48.0522	1532	235
BD18_1510091756.csv	p59	0.97746	99.544	54.5209	1685	200
BD18_1510091756.csv	p62	0.60637	133.958	46.4884	1048	269
BD18_1510091756.csv	p65	1.13999	99.092	63.6261	1964	199
BD18_1510091756.csv	p67	0.99959	98.561	45.2018	1723	198
BD18_1510091756.csv	p69	0.60637	107.063	103.216	1048	215
BD18_1510091756.csv	p70	0.62327	90.2	44.1594	1077	181
BD18_1510091756.csv	p72	0.47996	52.806	629.291	831	106
BD18_1510091756.csv	p73	0.45258	4.524	211.075	784	9
BD18_1510091756.csv	p78	0.47996	78.734	630.131	831	158
BD18_1510091756.csv	p80	0.49045	79.171	203.696	849	159
BD18_1510091756.csv	p83	0.49045	53.321	206.673	849	107
BD18_1510091756.csv	p84	0.62327	106.517	37.6116	1077	214
BD18_1510091756.csv	p85	0.49045	64.304	204.17	849	129
BD18_1510091756.csv	p88	0.47588	16.458	52.0988	824	33
BD18_1510091756.csv	p92	1.03862	94.568	32.8806	1790	190
BD18_1510091756.csv	p93	0.49627	6.989	286.605	859	14
BD18_1510091756.csv	p94	0.49045	0	190.647	849	0
BD18_1510091756.csv	p95	0.95182	94.115	51.1373	1641	189
BD18_1510091756.csv	p96	0.8458	29.937	730.742	1459	60
BD18_1510091756.csv	p97	0.49103	15.023	215.875	850	30
BD18_1510091756.csv	p98	0.49045	24.867	182.536	849	50
BD18_1510091756.csv	p100	0.49103	4.524	191.514	850	9
BD18_1510091756.csv	p101	0.946	100.589	48.9578	1631	202
BD18_1510091756.csv	p103	1.006	96.159	44.0913	1734	193
BD18_1510091756.csv	p105	0.68618	33.384	43.0441	1185	67
BD18_1510091756.csv	p109	0.47996	0	820.107	831	0
BD18_1510091756.csv	p110	0.47996	16.458	563.241	831	33
BD18_1510091756.csv	p112	0.47996	24.867	533.405	831	50
BD18_1510091756.csv	p113	0.64366	26.926	307.623	1112	54
BD18_1510091756.csv	p118	0.64307	32.932	357.113	1111	66
BD18_1510091756.csv	p119	1.01357	98.561	41.0036	1747	198
BD18_1510091756.csv	p121	1.02756	95.192	36.4248	1771	191
BD18_1510091756.csv	p127	0.96289	94.568	50.553	1660	190
BD18_1510091756.csv	p128	1.0194	99.092	39.3695	1757	199
BD18_1510091756.csv	p129	1.02406	99.544	38.4707	1765	200
BD18_1510091756.csv	p130	1.04736	99.092	31.2365	1805	199
