measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091702.csv	p1	0.47892	0	129.213	830	0
BD18_1510091702.csv	p2	1.03414	97.578	34.4238	1784	196
BD18_1510091702.csv	p3	0.96197	98.109	51.8191	1660	197
BD18_1510091702.csv	p4	0.586	3.541	46.8052	1014	7
BD18_1510091702.csv	p5	0.97536	98.109	54.9633	1683	197
BD18_1510091702.csv	p6	0.45215	4.54	191.236	784	9
BD18_1510091702.csv	p8	1.0126	98.639	41.2279	1747	198
BD18_1510091702.csv	p9	1.02017	96.58	37.8718	1760	194
BD18_1510091702.csv	p11	0.92414	102.009	118.176	1595	205
BD18_1510091702.csv	p12	0.84557	29.422	524.94	1460	59
BD18_1510091702.csv	p13	0.49696	6.037	239.906	861	12
BD18_1510091702.csv	p14	0.97943	97.578	55.1144	1690	196
BD18_1510091702.csv	p17	0.95382	98.109	53.426	1646	197
BD18_1510091702.csv	p18	0.64304	28.455	432.584	1112	57
BD18_1510091702.csv	p19	1.04345	96.58	32.1764	1800	194
BD18_1510091702.csv	p21	0.54818	7.55	515.704	949	15
BD18_1510091702.csv	p25	0.94218	98.639	58.5132	1626	198
BD18_1510091702.csv	p26	1.14006	97.578	68.9534	1966	196
BD18_1510091702.csv	p27	0.94567	96.065	56.7954	1632	193
BD18_1510091702.csv	p28	0.53537	7.004	54.6426	927	14
BD18_1510091702.csv	p29	1.00911	96.58	41.3906	1741	194
BD18_1510091702.csv	p31	0.68552	31.387	39.3765	1185	63
BD18_1510091702.csv	p32	0.59764	19.469	67.1926	1034	39
BD18_1510091702.csv	p33	0.60637	104.551	84.4513	1049	210
BD18_1510091702.csv	p35	0.88806	117.031	49.7975	1533	235
