measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091736.csv	p1	0.47996	0	127.896	831	0
BD18_1510091736.csv	p2	0.59822	56.706	45.0665	1034	114
BD18_1510091736.csv	p4	0.58715	3.525	52.2652	1015	7
BD18_1510091736.csv	p5	0.73861	94.599	31.0424	1275	190
BD18_1510091736.csv	p6	0.45316	4.508	197.002	785	9
BD18_1510091736.csv	p7	0.49744	6.443	243.53	861	13
BD18_1510091736.csv	p8	0.53647	8.907	53.3026	928	18
BD18_1510091736.csv	p9	0.59822	29.343	105.952	1034	59
BD18_1510091736.csv	p10	0.54812	7.425	554.138	948	15
BD18_1510091736.csv	p11	0.64424	29.343	140.084	1113	59
BD18_1510091736.csv	p12	0.60696	101.494	102.261	1049	204
BD18_1510091736.csv	p13	0.59764	37.83	92.2621	1033	76
BD18_1510091736.csv	p14	0.96581	98.093	33.7592	1665	197
BD18_1510091736.csv	p15	0.59822	19.375	157.805	1034	39
BD18_1510091736.csv	p17	0.88891	117.453	44.7999	1533	236
BD18_1510091736.csv	p18	0.95066	97.578	37.522	1639	196
BD18_1510091736.csv	p19	0.9559	98.093	35.303	1648	197
BD18_1510091736.csv	p20	0.97513	98.093	36.9558	1681	197
BD18_1510091736.csv	p21	0.92444	98.093	122.268	1594	197
BD18_1510091736.csv	p22	1.14115	97.578	32.3144	1966	196
