measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091709.csv	p13	1.01178	94.551	41.847	1746	190
BD18_1510091709.csv	p14	0.48346	0	1022.8	838	0
BD18_1510091709.csv	p15	1.04378	96.049	31.9443	1801	193
BD18_1510091709.csv	p19	0.49277	51.729	318.739	854	104
BD18_1510091709.csv	p21	0.58528	3.432	47.983	1013	7
BD18_1510091709.csv	p23	0.98792	97.531	48.1506	1705	196
BD18_1510091709.csv	p28	1.02167	95.082	39.7885	1763	191
BD18_1510091709.csv	p32	0.44797	142.833	45.6121	777	287
BD18_1510091709.csv	p35	0.62659	89.622	45.0394	1084	180
BD18_1510091709.csv	p36	0.44797	24.928	46.4941	777	50
BD18_1510091709.csv	p37	0.44797	14.882	71.9524	777	30
BD18_1510091709.csv	p38	0.49451	6.973	479.603	857	14
BD18_1510091709.csv	p40	0.95068	93.491	51.8257	1641	188
BD18_1510091709.csv	p42	0.48055	15.927	561.134	833	32
BD18_1510091709.csv	p44	0.49277	79.076	311.877	854	159
BD18_1510091709.csv	p46	0.49277	24.928	273.338	854	50
BD18_1510091709.csv	p55	0.50731	20.872	34.4634	879	42
BD18_1510091709.csv	p57	0.48346	148.746	859.209	838	299
BD18_1510091709.csv	p59	0.97512	94.021	54.7641	1683	189
BD18_1510091709.csv	p63	0.51255	50.809	78.4059	888	102
BD18_1510091709.csv	p66	0.50731	13.462	56.4595	879	27
BD18_1510091709.csv	p67	1.02691	94.551	38.2081	1772	190
BD18_1510091709.csv	p68	0.88784	117.421	47.8789	1533	236
BD18_1510091709.csv	p73	0.50731	0	63.3941	879	0
BD18_1510091709.csv	p74	0.48811	148.746	1013.76	846	299
BD18_1510091709.csv	p75	0.51255	64.724	74.9866	888	130
BD18_1510091709.csv	p78	0.84537	28.844	749.084	1460	58
BD18_1510091709.csv	p81	0.51255	79.076	73.5545	888	159
BD18_1510091709.csv	p83	0.49277	148.746	316.649	854	299
BD18_1510091709.csv	p87	0.51255	0	79.4368	888	0
BD18_1510091709.csv	p90	0.50731	148.309	33.364	879	298
BD18_1510091709.csv	p91	0.51255	15.397	84.6092	888	31
BD18_1510091709.csv	p92	0.95825	94.551	50.9571	1654	190
BD18_1510091709.csv	p94	0.51255	21.403	78.032	888	43
BD18_1510091709.csv	p96	0.51721	6.427	38.55	896	13
BD18_1510091709.csv	p100	0.51721	0	44.2411	896	0
BD18_1510091709.csv	p101	0.53699	7.971	64.6077	930	16
BD18_1510091709.csv	p102	0.68536	33.29	45.605	1185	67
BD18_1510091709.csv	p103	0.51721	15.397	48.3616	896	31
BD18_1510091709.csv	p104	0.60739	74.115	40.545	1051	149
BD18_1510091709.csv	p108	0.51721	21.403	45.3345	896	43
BD18_1510091709.csv	p109	0.48346	64.724	844.619	838	130
BD18_1510091709.csv	p112	0.62659	109.98	40.1792	1084	221
BD18_1510091709.csv	p113	0.54804	7.41	302.645	949	15
BD18_1510091709.csv	p114	0.4852	15.927	866.585	841	32
BD18_1510091709.csv	p115	0.48055	51.292	585.764	833	103
BD18_1510091709.csv	p116	0.51255	147.794	67.1452	888	297
