measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091800.csv	p4	0.49476	12.386	110.416	856	25
BD18_1510091800.csv	p5	0.53556	2.886	37.7336	926	6
BD18_1510091800.csv	p6	0.4528	4.368	160.593	784	9
BD18_1510091800.csv	p7	0.49768	4.976	207.669	861	10
BD18_1510091800.csv	p10	0.92489	103.475	107.152	1594	208
BD18_1510091800.csv	p11	0.47961	24.882	113.544	830	50
BD18_1510091800.csv	p12	0.94704	94.989	50.3178	1632	191
BD18_1510091800.csv	p13	0.97793	94.989	55.5692	1685	191
BD18_1510091800.csv	p14	0.47961	0	305.663	830	0
BD18_1510091800.csv	p15	1.00415	96.486	44.4889	1730	194
BD18_1510091800.csv	p17	0.58685	3.401	118.528	1014	7
BD18_1510091800.csv	p19	0.60667	91.011	96.7657	1048	183
BD18_1510091800.csv	p20	1.03329	96.486	35.6146	1780	194
BD18_1510091800.csv	p22	0.47961	51.683	135.7	830	104
BD18_1510091800.csv	p24	0.88875	117	48.247	1532	235
BD18_1510091800.csv	p25	0.47961	63.648	135.978	830	128
BD18_1510091800.csv	p28	1.14053	97.453	62.7816	1964	196
BD18_1510091800.csv	p39	0.47961	80.122	138.258	830	161
BD18_1510091800.csv	p41	1.01464	97.453	41.4658	1748	196
BD18_1510091800.csv	p42	0.53556	10.889	57.9547	926	22
BD18_1510091800.csv	p45	0.47961	147.81	144.05	830	297
BD18_1510091800.csv	p47	0.95753	97.017	51.3634	1650	195
BD18_1510091800.csv	p49	1.02747	94.989	36.5642	1770	191
BD18_1510091800.csv	p50	1.00823	100.012	41.9286	1737	201
BD18_1510091800.csv	p53	0.5478	2.886	110.827	947	6
BD18_1510091800.csv	p54	0.96219	94.989	51.2441	1658	191
BD18_1510091800.csv	p55	0.60667	136.36	36.2032	1048	274
BD18_1510091800.csv	p57	1.02106	94.989	38.0059	1759	191
BD18_1510091800.csv	p59	0.9517	94.989	51.6109	1640	191
BD18_1510091800.csv	p61	0.5478	7.909	975.58	947	16
BD18_1510091800.csv	p63	0.60608	106.033	105.146	1047	213
BD18_1510091800.csv	p64	0.93188	97.017	52.1724	1606	195
BD18_1510091800.csv	p68	0.84621	29.312	696.998	1459	59
BD18_1510091800.csv	p73	1.04262	94.989	32.3668	1796	191
BD18_1510091800.csv	p77	1.04903	97.017	30.9031	1807	195
BD18_1510091800.csv	p79	0.99075	100.012	47.7534	1707	201
BD18_1510091800.csv	p80	0.7174	27.3	46.8819	1238	55
BD18_1510091800.csv	p81	0.68535	32.807	36.0126	1183	66
BD18_1510091800.csv	p83	0.64338	32.276	340.734	1111	65
