measurement_name	peak_name	t	r	signal	index_t	index_r
BD18_1510091803.csv	p1	0.47868	0	129.174	829	0
BD18_1510091803.csv	p2	1.00168	95.612	44.5398	1727	192
BD18_1510091803.csv	p4	0.958	96.049	52.7331	1652	193
BD18_1510091803.csv	p5	0.58643	3.432	125.294	1014	7
BD18_1510091803.csv	p7	0.97373	96.049	55.7071	1679	193
BD18_1510091803.csv	p8	0.45247	4.383	205.029	784	9
BD18_1510091803.csv	p10	1.02614	98.108	38.31	1769	197
BD18_1510091803.csv	p11	0.71747	27.877	30.5466	1239	56
BD18_1510091803.csv	p14	1.04711	96.049	31.2935	1805	193
BD18_1510091803.csv	p15	0.68544	32.308	40.5219	1184	65
BD18_1510091803.csv	p16	0.95218	95.066	52.1085	1642	191
BD18_1510091803.csv	p24	0.99236	97.562	49.3235	1711	196
BD18_1510091803.csv	p25	0.49732	5.99	217.155	861	12
BD18_1510091803.csv	p26	0.99644	96.58	47.9731	1718	194
BD18_1510091803.csv	p30	1.05235	96.049	30.0848	1814	193
BD18_1510091803.csv	p31	0.96383	98.108	52.1344	1662	197
BD18_1510091803.csv	p32	0.54799	7.425	602.372	948	15
BD18_1510091803.csv	p34	1.03313	98.108	35.5809	1781	197
BD18_1510091803.csv	p35	1.04187	97.562	31.6483	1796	196
BD18_1510091803.csv	p37	0.53576	8.907	59.3955	927	18
BD18_1510091803.csv	p39	0.59749	19.438	84.5531	1033	39
BD18_1510091803.csv	p41	0.6435	27.877	368.062	1112	56
BD18_1510091803.csv	p42	0.8456	29.921	625.91	1459	60
BD18_1510091803.csv	p43	1.00692	98.108	43.1158	1736	197
BD18_1510091803.csv	p44	0.97722	96.049	56.0375	1685	193
BD18_1510091803.csv	p45	1.1403	96.049	63.5923	1965	193
BD18_1510091803.csv	p46	0.92364	102.991	107.753	1593	207
BD18_1510091803.csv	p51	0.60739	91.073	88.3887	1050	183
BD18_1510091803.csv	p52	0.94461	95.066	51.9715	1629	191
BD18_1510091803.csv	p56	1.011	98.108	42.4307	1743	197
BD18_1510091803.csv	p58	0.88753	117.031	49.2909	1531	235
BD18_1510091803.csv	p59	0.60739	122.99	38.0854	1050	247
BD18_1510091803.csv	p60	0.60681	105.097	97.2501	1049	211
